region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,pct_gt25,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,psr_fraction,dist_to_psr_km,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
24275,-3764.906779661018,-34914.471751412435,0.110625,35.1173,4.4054,2.1296,10.6316,0.0,3.2138,1.3144,-1829.506,1.0,0.0,1.557442,1.0,0.0,0.0,1.0,QUALIFIED
24281,-24692.4776119403,-34824.5,0.08375,42.6904,5.9087,2.8159,12.5862,0.0,4.6363,1.1168,-5714.1982,1.0,0.059701,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24294,-24271.82523148148,-35367.179398148146,0.54,42.8949,6.899,3.9913,29.9832,0.0104,5.2266,1.9399,-5711.11,1.0,0.097222,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24311,-26494.25,-34780.125,0.1,43.722,5.565,2.739,14.2107,0.0,4.1575,0.9043,-5761.1885,1.0,0.19375,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24316,-25752.82300884956,-35004.58849557521,0.14125,43.4573,4.17,2.2174,10.4354,0.0,3.264,0.789,-5755.7995,1.0,0.221239,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24330,26522.65789473684,-35076.21052631579,0.11875,43.9756,6.5518,2.2268,14.3978,0.0,5.6688,0.9737,-695.7246,1.0,0.0,12.65,1.0,0.0,1.0,1.0,QUALIFIED
24337,-10246.214285714284,-34781.6768707483,0.459375,36.2598,11.2388,4.5203,28.0069,0.0122,9.8738,2.8032,-536.4046,1.0,0.0,7.385332,0.1908,0.3436,1.0,1.0,QUALIFIED
24343,-4581.034351145034,-35042.756997455464,0.245625,35.3414,5.6491,2.8977,14.6384,0.0,4.6222,1.9603,-1819.8036,1.0,0.0,2.153631,1.0,0.0,0.0,1.0,QUALIFIED
24367,-3848.372340425536,-35200.56382978724,0.088125,35.4107,9.0396,4.212,16.888,0.0,7.0257,2.1019,-1835.9313,1.0,0.0,1.576587,1.0,0.0,0.0,1.0,QUALIFIED
24372,-27017.010416666668,-35125.85416666667,0.3,44.3142,7.1846,4.5249,23.6731,0.0,5.6126,3.0058,-5770.6182,1.0,0.44375,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24445,-1656.537414965991,-35177.348639455784,0.3675,35.2168,9.2306,4.3633,23.5551,0.0,6.979,2.0718,-1848.0477,1.0,0.246599,0.0,0.7493,0.3891,0.068027,1.0,QUALIFIED
24449,-25895.616861435727,-35299.353923205344,0.74875,43.7794,5.7667,4.1843,24.3009,0.0,4.7734,3.1776,-5755.5526,1.0,0.355593,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24472,-2627.123376623378,-35655.344155844155,0.09625,35.7525,5.4946,2.913,16.3199,0.0,5.0593,2.3647,-1843.6166,1.0,0.0,0.325,0.9366,0.1943,0.0,1.0,QUALIFIED
